temporary, no temporary[ms]
25057.115685,39915.761575,
24986.389632,39884.306714,
25016.816448,39896.631534,
25028.483476,39859.037291,
25086.914547,39957.047623,
25026.630832,39856.770607,
25063.973455,39963.896447,
25000.596525,39854.413952,
24958.738879,39959.775725,
25044.719205,39948.760491,
25009.577026,39859.274665,
25042.023442,40014.501952,
25038.472302,39967.687311,
24955.492865,39970.755631,
24979.682756,40827.824216,
24952.857521,39953.258320,
24954.088915,39755.154107,
24916.091789,39859.208173,
25008.491484,39880.705245,
25044.597482,39846.128088,
25030.967082,39965.863374,
25109.647698,39972.547436,
25090.829462,39864.273989,
25036.056550,39853.637613,
24961.360744,41000.830035,
24900.756144,39790.466222,
24919.599398,41113.378384,
25028.021879,39775.058954,
24897.529670,39879.135199,
25024.037902,39759.699415,
24939.103837,39941.925915,
24899.769783,39751.465892,
24901.037944,39761.619982,
24909.407907,39782.913934,
24976.033773,39757.900206,
24901.232560,39845.403939,
25083.129425,39819.692998,
24903.242549,39806.114507,
24901.219957,39759.486182,
24975.523686,39874.743524,
25028.633078,39868.124264,
24907.773482,40354.054873,
24935.579343,39867.653123,
24985.937016,39746.189059,
24967.218343,39855.845364,
24937.601271,39743.938402,
24963.465118,39728.550830,
25020.792196,39789.801364,
24903.172126,39779.377668,
25002.004586,39777.470038,
