temporary, no temporary[ms] 
41111.493900,40522.396600,
41135.188700,40324.697500,
41370.823600,40376.292900,
41320.903900,40442.458100,
41427.248500,40228.065900,
41170.440800,40336.327900,
40911.038600,40352.360700,
41148.267200,40380.156100,
41057.848900,40365.318100,
41188.119200,40343.607600,
41033.974500,40831.493600,
40877.454300,40343.502700,
40953.634900,40358.229100,
40706.599900,40453.148300,
41079.842100,40423.833400,
41329.925900,40369.549700,
41118.434100,40304.938500,
41035.016600,40456.771400,
40856.664400,40360.140900,
41098.217300,40357.072500,
40534.530700,40360.374200,
40773.658100,40353.614100,
40735.599700,40302.992500,
40547.538700,40380.884400,
40955.815400,40375.213300,
40721.560600,40329.673400,
41123.018000,40369.596300,
41108.833400,40371.159700,
41415.881200,40329.514000,
40887.043000,40291.641300,
41109.808100,40379.309300,
41068.701200,40306.732600,
40900.184000,40395.230000,
40994.968700,40358.954100,
40709.972100,40363.984000,
40973.923600,40466.223000,
40795.718800,40368.664600,
41155.779300,40343.969500,
41272.049500,40476.234400,
41651.975900,40270.886500,
41173.015500,40371.834300,
41051.857100,41192.144400,
41412.574800,40398.887100,
41281.738200,40322.542600,
40623.936400,40396.206400,
40714.029300,40456.767000,
40650.422900,40375.936800,
40659.770000,40394.802700,
41272.971300,40361.999800,
41800.895000,40321.590200,
